occ_code,sector_code,emp_share,source_tag
51-4033,ALL,1.0,FIXTURE
51-4034,ALL,1.0,FIXTURE
51-4035,ALL,1.0,FIXTURE
51-4041,ALL,1.0,FIXTURE
51-4051,ALL,1.0,FIXTURE
51-4052,ALL,1.0,FIXTURE
51-4061,ALL,1.0,FIXTURE
51-4062,ALL,1.0,FIXTURE
51-4071,ALL,1.0,FIXTURE
51-4072,ALL,1.0,FIXTURE
51-4081,ALL,1.0,FIXTURE
51-4111,ALL,1.0,FIXTURE
51-4121,ALL,1.0,FIXTURE
51-4122,ALL,1.0,FIXTURE
51-4191,ALL,1.0,FIXTURE
51-4192,ALL,1.0,FIXTURE
51-4193,ALL,1.0,FIXTURE
51-4194,ALL,1.0,FIXTURE
51-4199,ALL,1.0,FIXTURE
51-5111,ALL,1.0,FIXTURE
51-5112,ALL,1.0,FIXTURE
51-5113,ALL,1.0,FIXTURE
51-6011,ALL,1.0,FIXTURE
51-6021,ALL,1.0,FIXTURE
51-6031,ALL,1.0,FIXTURE
51-6041,ALL,1.0,FIXTURE
51-6042,ALL,1.0,FIXTURE
51-6051,ALL,1.0,FIXTURE
51-6052,ALL,1.0,FIXTURE
51-6061,ALL,1.0,FIXTURE
51-6062,ALL,1.0,FIXTURE
51-6063,ALL,1.0,FIXTURE
51-6064,ALL,1.0,FIXTURE
51-6091,ALL,1.0,FIXTURE
51-6092,ALL,1.0,FIXTURE
51-6093,ALL,1.0,FIXTURE
51-6099,ALL,1.0,FIXTURE
51-7011,ALL,1.0,FIXTURE
51-7021,ALL,1.0,FIXTURE
51-7031,ALL,1.0,FIXTURE
51-7032,ALL,1.0,FIXTURE
51-7041,ALL,1.0,FIXTURE
51-7042,ALL,1.0,FIXTURE
51-7099,ALL,1.0,FIXTURE
51-8011,ALL,1.0,FIXTURE
51-8012,ALL,1.0,FIXTURE
51-8013,ALL,1.0,FIXTURE
51-8021,ALL,1.0,FIXTURE
51-8031,ALL,1.0,FIXTURE
51-8091,ALL,1.0,FIXTURE
51-8092,ALL,1.0,FIXTURE
51-8093,ALL,1.0,FIXTURE
51-8099,ALL,1.0,FIXTURE
51-9011,ALL,1.0,FIXTURE
51-9012,ALL,1.0,FIXTURE
51-9021,ALL,1.0,FIXTURE
51-9022,ALL,1.0,FIXTURE
51-9023,ALL,1.0,FIXTURE
51-9031,ALL,1.0,FIXTURE
51-9032,ALL,1.0,FIXTURE
51-9041,ALL,1.0,FIXTURE
51-9051,ALL,1.0,FIXTURE
51-9061,ALL,1.0,FIXTURE
51-9071,ALL,1.0,FIXTURE
51-9081,ALL,1.0,FIXTURE
51-9082,ALL,1.0,FIXTURE
51-9083,ALL,1.0,FIXTURE
51-9111,ALL,1.0,FIXTURE
51-9123,ALL,1.0,FIXTURE
51-9124,ALL,1.0,FIXTURE
51-9141,ALL,1.0,FIXTURE
51-9151,ALL,1.0,FIXTURE
51-9161,ALL,1.0,FIXTURE
51-9162,ALL,1.0,FIXTURE
51-9191,ALL,1.0,FIXTURE
51-9192,ALL,1.0,FIXTURE
51-9193,ALL,1.0,FIXTURE
51-9194,ALL,1.0,FIXTURE
51-9195,ALL,1.0,FIXTURE
51-9196,ALL,1.0,FIXTURE
51-9197,ALL,1.0,FIXTURE
51-9198,ALL,1.0,FIXTURE
51-9199,ALL,1.0,FIXTURE
53-1041,ALL,1.0,FIXTURE
53-1047,ALL,1.0,FIXTURE
53-2011,ALL,1.0,FIXTURE
53-2012,ALL,1.0,FIXTURE
53-2021,ALL,1.0,FIXTURE
53-2022,ALL,1.0,FIXTURE
53-2031,ALL,1.0,FIXTURE
53-3011,ALL,1.0,FIXTURE
53-3031,ALL,1.0,FIXTURE
53-3032,ALL,1.0,FIXTURE
53-3033,ALL,1.0,FIXTURE
53-3051,ALL,1.0,FIXTURE
53-3052,ALL,1.0,FIXTURE
53-3053,ALL,1.0,FIXTURE
53-3054,ALL,1.0,FIXTURE
53-3099,ALL,1.0,FIXTURE
53-4011,ALL,1.0,FIXTURE
53-4013,ALL,1.0,FIXTURE
53-4022,ALL,1.0,FIXTURE
53-4031,ALL,1.0,FIXTURE
53-4041,ALL,1.0,FIXTURE
53-4099,ALL,1.0,FIXTURE
53-5011,ALL,1.0,FIXTURE
53-5021,ALL,1.0,FIXTURE
53-5022,ALL,1.0,FIXTURE
53-5031,ALL,1.0,FIXTURE
53-6011,ALL,1.0,FIXTURE
53-6021,ALL,1.0,FIXTURE
53-6031,ALL,1.0,FIXTURE
53-6032,ALL,1.0,FIXTURE
53-6041,ALL,1.0,FIXTURE
53-6051,ALL,1.0,FIXTURE
53-6061,ALL,1.0,FIXTURE
53-6099,ALL,1.0,FIXTURE
53-7011,ALL,1.0,FIXTURE
53-7021,ALL,1.0,FIXTURE
53-7031,ALL,1.0,FIXTURE
53-7041,ALL,1.0,FIXTURE
53-7051,ALL,1.0,FIXTURE
53-7061,ALL,1.0,FIXTURE
53-7062,ALL,1.0,FIXTURE
53-7063,ALL,1.0,FIXTURE
53-7064,ALL,1.0,FIXTURE
53-7065,ALL,1.0,FIXTURE
53-7071,ALL,1.0,FIXTURE
53-7072,ALL,1.0,FIXTURE
53-7073,ALL,1.0,FIXTURE
53-7081,ALL,1.0,FIXTURE
53-7121,ALL,1.0,FIXTURE
53-7199,ALL,1.0,FIXTURE
